Date,Close,Prev_Close
2020-01-02,72.40052032470703,AAPL
2020-01-03,71.69662475585938,72.40052032470703
2020-01-06,72.26793670654297,71.69662475585938
2020-01-07,71.92805480957031,72.26793670654297
2020-01-08,73.08511352539062,71.92805480957031
2020-01-09,74.63750457763672,73.08511352539062
2020-01-10,74.80622100830078,74.63750457763672
2020-01-13,76.40442657470703,74.80622100830078
2020-01-14,75.37271881103516,76.40442657470703
2020-01-15,75.04969787597656,75.37271881103516
2020-01-16,75.98979187011719,75.04969787597656
2020-01-17,76.83110809326172,75.98979187011719
2020-01-21,76.3104019165039,76.83110809326172
2020-01-22,76.58280181884766,76.3104019165039
2020-01-23,76.95162963867188,76.58280181884766
2020-01-24,76.72984313964844,76.95162963867188
2020-01-27,74.47360229492188,76.72984313964844
2020-01-28,76.58039093017578,74.47360229492188
2020-01-29,78.18340301513672,76.58039093017578
2020-01-30,78.07011413574219,78.18340301513672
2020-01-31,74.60856628417969,78.07011413574219
2020-02-03,74.4036636352539,74.60856628417969
2020-02-04,76.86000061035156,74.4036636352539
2020-02-05,77.48674774169922,76.86000061035156
2020-02-06,78.39310455322266,77.48674774169922
2020-02-07,77.3275375366211,78.39310455322266
2020-02-10,77.69480895996094,77.3275375366211
2020-02-11,77.22604370117188,77.69480895996094
2020-02-12,79.05999755859375,77.22604370117188
2020-02-13,78.49699401855469,79.05999755859375
2020-02-14,78.516357421875,78.49699401855469
2020-02-18,77.07865905761719,78.516357421875
2020-02-19,78.19498443603516,77.07865905761719
2020-02-20,77.39277648925781,78.19498443603516
2020-02-21,75.64098358154297,77.39277648925781
2020-02-24,72.04801940917969,75.64098358154297
2020-02-25,69.60758972167969,72.04801940917969
2020-02-26,70.71182250976562,69.60758972167969
2020-02-27,66.08951568603516,70.71182250976562
2020-02-28,66.05085754394531,66.08951568603516
2020-03-02,72.20023345947266,66.05085754394531
2020-03-03,69.9072265625,72.20023345947266
2020-03-04,73.14982604980469,69.9072265625
2020-03-05,70.77706146240234,73.14982604980469
2020-03-06,69.83712005615234,70.77706146240234
2020-03-09,64.31356048583984,69.83712005615234
2020-03-10,68.94554138183594,64.31356048583984
2020-03-11,66.55101776123047,68.94554138183594
2020-03-12,59.978797912597656,66.55101776123047
2020-03-13,67.16474914550781,59.978797912597656
2020-03-16,58.52421951293945,67.16474914550781
2020-03-17,61.097530364990234,58.52421951293945
2020-03-18,59.60186767578125,61.097530364990234
2020-03-19,59.14519119262695,59.60186767578125
2020-03-20,55.39033126831055,59.14519119262695
2020-03-23,54.21361541748047,55.39033126831055
2020-03-24,59.65261459350586,54.21361541748047
2020-03-25,59.32399368286133,59.65261459350586
2020-03-26,62.4458122253418,59.32399368286133
2020-03-27,59.860408782958984,62.4458122253418
2020-03-30,61.56869888305664,59.860408782958984
2020-03-31,61.44305419921875,61.56869888305664
2020-04-01,58.21010208129883,61.44305419921875
2020-04-02,59.18143081665039,58.21010208129883
2020-04-03,58.3309211730957,59.18143081665039
2020-04-06,63.4195671081543,58.3309211730957
2020-04-07,62.685001373291016,63.4195671081543
2020-04-08,64.28939056396484,62.685001373291016
2020-04-09,64.75332641601562,64.28939056396484
2020-04-13,66.0242691040039,64.75332641601562
2020-04-14,69.35870361328125,66.0242691040039
2020-04-15,68.72564697265625,69.35870361328125
2020-04-16,69.271728515625,68.72564697265625
2020-04-17,68.33179473876953,69.271728515625
2020-04-20,66.91344451904297,68.33179473876953
2020-04-21,64.84513092041016,66.91344451904297
2020-04-22,66.7129135131836,64.84513092041016
2020-04-23,66.45437622070312,66.7129135131836
2020-04-24,68.37287902832031,66.45437622070312
2020-04-27,68.42123413085938,68.37287902832031
2020-04-28,67.31214904785156,68.42123413085938
2020-04-29,69.5230484008789,67.31214904785156
2020-04-30,70.98968505859375,69.5230484008789
2020-05-01,69.8468017578125,70.98968505859375
2020-05-04,70.83505249023438,69.8468017578125
2020-05-05,71.89820861816406,70.83505249023438
2020-05-06,72.6399917602539,71.89820861816406
2020-05-07,73.39142608642578,72.6399917602539
2020-05-08,75.13831329345703,73.39142608642578
2020-05-11,76.32061767578125,75.13831329345703
2020-05-12,75.44841766357422,76.32061767578125
2020-05-13,74.53742218017578,75.44841766357422
2020-05-14,74.99535369873047,74.53742218017578
2020-05-15,74.55195617675781,74.99535369873047
2020-05-18,76.30850982666016,74.55195617675781
2020-05-19,75.86756134033203,76.30850982666016
2020-05-20,77.34304809570312,75.86756134033203
2020-05-21,76.76641082763672,77.34304809570312
2020-05-22,77.26065826416016,76.76641082763672
2020-05-26,76.73733520507812,77.26065826416016
2020-05-27,77.07168579101562,76.73733520507812
2020-05-28,77.10560607910156,77.07168579101562
2020-05-29,77.03048706054688,77.10560607910156
2020-06-01,77.97781372070312,77.03048706054688
2020-06-02,78.33882141113281,77.97781372070312
2020-06-03,78.77005004882812,78.33882141113281
2020-06-04,78.09169006347656,78.77005004882812
2020-06-05,80.31582641601562,78.09169006347656
2020-06-08,80.79068756103516,80.31582641601562
2020-06-09,83.34191131591797,80.79068756103516
2020-06-10,85.48607635498047,83.34191131591797
2020-06-11,81.38184356689453,85.48607635498047
2020-06-12,82.08446502685547,81.38184356689453
2020-06-15,83.09962463378906,82.08446502685547
2020-06-16,85.30193328857422,83.09962463378906
2020-06-17,85.18321990966797,85.30193328857422
2020-06-18,85.21714782714844,85.18321990966797
2020-06-19,84.73017120361328,85.21714782714844
2020-06-22,86.947021484375,84.73017120361328
2020-06-23,88.80289459228516,86.947021484375
2020-06-24,87.2353286743164,88.80289459228516
2020-06-25,88.39344024658203,87.2353286743164
2020-06-26,85.6774673461914,88.39344024658203
2020-06-29,87.65205383300781,85.6774673461914
2020-06-30,88.38373565673828,87.65205383300781
2020-07-01,88.21656036376953,88.38373565673828
2020-07-02,88.21656036376953,88.21656036376953
2020-07-06,90.57637023925781,88.21656036376953
2020-07-07,90.29532623291016,90.57637023925781
2020-07-08,92.39832305908203,90.29532623291016
2020-07-09,92.79564666748047,92.39832305908203
2020-07-10,92.95800018310547,92.79564666748047
2020-07-13,92.5291519165039,92.95800018310547
2020-07-14,94.06037139892578,92.5291519165039
2020-07-15,94.70723724365234,94.06037139892578
2020-07-16,93.54188537597656,94.70723724365234
